title,author,average_rating,num_ratings,book_link
"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3.75,987078,https://www.goodreads.com/book/show/5821978-the-summer-i-turned-pretty
"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,3.79,195399,https://www.goodreads.com/book/show/6931356-the-duff
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.22,69503,https://www.goodreads.com/book/show/107779.The_Bride
Along for the Ride,Sarah Dessen,4.03,210941,https://www.goodreads.com/book/show/5664985-along-for-the-ride
"Call Me Irresistible (Wynette, Texas, #6)",Susan Elizabeth Phillips,4.10,25529,https://www.goodreads.com/book/show/8437379-call-me-irresistible
"Mystery Man (Dream Man, #1)",Kristen Ashley,4.20,73482,https://www.goodreads.com/book/show/18819167-mystery-man
"Significance (Significance, #1)",Shelly Crane,4.09,45513,https://www.goodreads.com/book/show/16282066-significance
Bet Me,Jennifer Crusie,3.94,94663,https://www.goodreads.com/book/show/854757.Bet_Me
"Breathe (Sea Breeze, #1)",Abbi Glines,3.85,84026,https://www.goodreads.com/book/show/11479285-breathe
"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips,4.15,37440,https://www.goodreads.com/book/show/73064.Natural_Born_Charmer
Forbidden,Tabitha Suzuma,3.96,75244,https://www.goodreads.com/book/show/7600924-forbidden
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.32,199577,https://www.goodreads.com/book/show/35729.Lover_Eternal
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1137856,https://www.goodreads.com/book/show/10429045-shatter-me
Can You Keep a Secret?,Sophie Kinsella,3.82,467869,https://www.goodreads.com/book/show/33724.Can_You_Keep_a_Secret_
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1757229,https://www.goodreads.com/book/show/17347634-me-before-you
The Thorn Birds,Colleen McCullough,4.25,360570,https://www.goodreads.com/book/show/3412.The_Thorn_Birds
"Naked in Death (In Death, #1)",J.D. Robb,4.13,201176,https://www.goodreads.com/book/show/479309.Naked_in_Death
"Sugar Daddy (Travises, #1)",Lisa Kleypas,4.01,45817,https://www.goodreads.com/book/show/306364.Sugar_Daddy
"The Gamble (Colorado Mountain, #1)",Kristen Ashley,4.25,60608,https://www.goodreads.com/book/show/75946108-the-gamble
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips,4.08,32766,https://www.goodreads.com/book/show/73100.This_Heart_of_Mine
Ain't She Sweet?,Susan Elizabeth Phillips,4.08,26177,https://www.goodreads.com/book/show/373606.Ain_t_She_Sweet_
The Sweet Gum Tree,Katherine Allred,4.25,31075,https://www.goodreads.com/book/show/2761356-the-sweet-gum-tree
"Wallbanger (Cocktail, #1)",Alice Clayton,3.98,211122,https://www.goodreads.com/book/show/15858248-wallbanger
Going Too Far,Jennifer Echols,3.92,38336,https://www.goodreads.com/book/show/4570679-going-too-far
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81,1011573,https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary
"Playing for Keeps (Neighbor from Hell, #1)",R.L. Mathewson,4.02,115408,https://www.goodreads.com/book/show/11381643-playing-for-keeps
"Catching Jordan (Hundred Oaks, #1)",Miranda Kenneally,3.83,64270,https://www.goodreads.com/book/show/9888775-catching-jordan
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4.05,122669,https://www.goodreads.com/book/show/10194514-pushing-the-limits
"Wait for You (Wait for You, #1)",J. Lynn,4.13,168379,https://www.goodreads.com/book/show/17314430-wait-for-you
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,4.15,173867,https://www.goodreads.com/book/show/16070903-fallen-too-far
"Rock Chick (Rock Chick, #1)",Kristen Ashley,4.17,59253,https://www.goodreads.com/book/show/6538757-rock-chick
"Nobody's Baby But Mine (Chicago Stars, #3)",Susan Elizabeth Phillips,4.04,43601,https://www.goodreads.com/book/show/73080.Nobody_s_Baby_But_Mine
"Devil in Winter (Wallflowers, #3)",Lisa Kleypas,4.21,96026,https://www.goodreads.com/book/show/114166.Devil_in_Winter
"Existence (Existence, #1)",Abbi Glines,3.92,62441,https://www.goodreads.com/book/show/13223520-existence
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,4.31,139216,https://www.goodreads.com/book/show/304027.Lover_Unbound
North and South,Elizabeth Gaskell,4.15,179172,https://www.goodreads.com/book/show/156538.North_and_South
Forget You,Jennifer Echols,3.78,26495,https://www.goodreads.com/book/show/7129588-forget-you
Taming Flame,Therisa Peimer,4.29,17076,https://www.goodreads.com/book/show/61608233-taming-flame
"Fallen (Fallen, #1)",Lauren Kate,3.72,610684,https://www.goodreads.com/book/show/6487308-fallen
"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley,4.04,39757,https://www.goodreads.com/book/show/5981872-the-madness-of-lord-ian-mackenzie
The Sky Is Everywhere,Jandy Nelson,3.95,109296,https://www.goodreads.com/book/show/6604794-the-sky-is-everywhere
"Forever Mine (The Moreno Brothers, #1)",Elizabeth Reyes,3.87,23113,https://www.goodreads.com/book/show/9279734-forever-mine
"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley,3.84,77822,https://www.goodreads.com/book/show/13628209-the-boy-who-sneaks-in-my-bedroom-window
Practice Makes Perfect,Julie James,3.95,32214,https://www.goodreads.com/book/show/5082599-practice-makes-perfect
"Delirium (Delirium, #1)",Lauren Oliver,3.95,476255,https://www.goodreads.com/book/show/11614718-delirium
Lock and Key,Sarah Dessen,3.99,151846,https://www.goodreads.com/book/show/1295102.Lock_and_Key
"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter,4.05,85588,https://www.goodreads.com/book/show/476543.The_Darkest_Night
